Name, Author, Download URL, Attribution url, License Type
whatsapp.jpg, aalmeidah, https://pixabay.com/en/whatsapp-communication-1984584/, n/a, cc0
snapchat.jpg, MIH83, https://pixabay.com/en/snapchat-social-media-photograph-1360003/, n/a, cc0


//car companies
ferrari.jpg, jingoba, https://pixabay.com/en/ferrari-brno-racing-car-automobiles-296886/, n/a, cc0
citroen.jpg, stux, https://pixabay.com/en/citro%C3%ABn-ds-21-automotive-382994/, n/a, cc0
peugeot.jpg, bedwards, https://pixabay.com/en/car-brand-logo-mascot-peugeot-247938/, n/a, cc0
maserati.jpg, 422737, https://pixabay.com/en/maserati-logo-car-brand-noble-model-488394/, n/a, cc0
porsche.jpg, stux, https://pixabay.com/en/coat-of-arms-signet-logo-brand-349889/, n/a, cc0
volkswagen.jpg, simon, https://pixabay.com/en/vw-volkswagen-auto-automotive-1043116/, n/a, cc0
mercedes.jpg, DariuszSankowski, https://pixabay.com/en/mercedes-old-auto-car-sport-brand-996070/, n/a, cc0
bentley.jpg, DariuszSankowski, https://pixabay.com/en/bentley-auto-car-sport-brand-logo-996093/, n/a, cc0
mitsubishi.jpg, DariuszSankowski, https://pixabay.com/en/mitsubishi-auto-car-sport-brand-996078/, n/a, cc0
audi.jpg, webandi, https://pixabay.com/en/audi-logo-auto-brand-characters-2435928/, n/a, cc0
tesla.jpg, BurritoBazooka, https://commons.wikimedia.org/wiki/File:Tesla_Motors.svg, n/a, not required
toyota.jpg, unknown, https://commons.wikimedia.org/wiki/File:Toyota_carlogo.svg, n/a, not required
subaru.jpg, Dale Gillard, https://www.flickr.com/photos/dalegillard/238252448, n/a, cc0
honda.jpg, bernardsie, https://pixabay.com/en/honda-logo-car-1596081/, n/a, cc0
skoda.jpg, TheJohnus, https://pixabay.com/en/auto-vehicle-transport-system-3310162/, n/a, cc0
jaguar.jpg, sportwagen, https://pixabay.com/en/jaguar-logo-black-silver-emblem-1076207/, n/a, cc0
hyundai.jpg, KoalaParkLaundromat, https://pixabay.com/en/hyundai-car-vehicle-badge-emblem-1282364/, n/a, cc0
morrisGarages.jpg, KoalaParkLaundromat, https://pixabay.com/en/mg-car-classic-vintage-blue-2000097/, n/a, cc0
miniCooper.jpg, KoalaParkLaundromat, https://pixabay.com/en/mini-car-emblem-badge-red-british-1283171/, n/a, cc0
jaguar.jpg, KoalaParkLaundromat, https://pixabay.com/en/jaguar-car-emblem-bonnet-1185050/, n/a, cc0
rollsRoyce.jpg, not mentioned, https://pxhere.com/en/photo/1029686, n/a, cc0
renault.jpg, Cicero, https://pixabay.com/en/auto-renault-talisman-2967071/, n/a, cc0
cadillac.jpg, Michi1308, https://www.flickr.com/photos/22256255@N05/2146660835, n/a, cc0


//flags
norway.jpg, paulbr, https://pixabay.com/en/flag-of-norway-flag-background-3116623/, n/a, cc0
canada.jpg, OpenClipart-Vectors, https://pixabay.com/en/canada-flag-canadian-country-159585/, n/a, cc0
usa.jpg, deMysticWay, https://pixabay.com/en/usa-flag-stars-and-stripes-american-2887014/, n/a, cc0
england.jpg, deMysticWay, https://pixabay.com/en/england-flag-red-blue-white-2906827/, n/a, cc0
india.jpg, paulbr75, https://pixabay.com/en/india-flag-country-background-3096740/, n/a, cc0
switzerland.jpg, paulbr75, https://pixabay.com/en/swiss-flag-switzerland-country-flag-3109178/, n/a, cc0
scotland.jpg, MBGraffix, https://pixabay.com/en/scottish-saltire-flag-jack-union-3283657/, n/a, cc0
germany.jpg, Comfreak, https://pixabay.com/en/germany-flag-home-country-1454777/, n/a, cc0
france.jpg, Comfreak, https://pixabay.com/en/france-flag-home-country-1454908/, n/a, cc0
sweden.jpg, paulbr75, https://pixabay.com/en/sweden-flag-background-backdrop-3109205/, n/a, cc0
argentina.jpg, JoeBamz, https://pixabay.com/en/argentina-flags-argentina-flag-3001464/, n/a, cc0
italy.jpg, DavidRockDesign, https://pixabay.com/en/italy-flag-europe-rome-wallpaper-1460295/, n/a, cc0
ukraine.jpg, Kaufdex, https://pixabay.com/en/ukraine-flag-country-ukraine-flag-2696944/, n/a, cc0
greece.jpg, dimitrisvetsikas1969, https://pixabay.com/en/greece-country-nation-greek-flag-1746461/, n/a, cc0
chile.jpg, DavidRockDesign, https://pixabay.com/en/chile-flag-national-chilean-flag-1460323/, n/a, cc0
china.jpg, mayns82, https://pixabay.com/en/flag-country-china-1040555/, n/a, cc0
mexico.jpg, TheDigitalArtist, https://pixabay.com/en/mexico-flag-flag-mexico-nation-1332910/, n/a, cc0
colombia.jpg, DavidRockDesign, https://pixabay.com/en/colombia-flag-colombian-flag-1460312/, n/a, cc0
japan.jpg, DavidRockDesign, https://pixabay.com/en/japan-flag-nation-country-national-1460334/, n/a, cc0
austria.jpg, mayns82, https://pixabay.com/en/flag-country-austria-1022605/, n/a, cc0
australia.jpg, mayns82, https://pixabay.com/en/flag-country-australia-1022604/, n/a, cc0
poland.jpg, DavidRockDesign, https://pixabay.com/en/flag-poland-nation-free-image-1488032/, n/a, cc0
russia.jpg, TayebMEZAHDIA, https://pixabay.com/en/russia-russian-world-cup-2018-3037400/, n/a, cc0
belgium.jpg, mayns82, https://pixabay.com/en/flag-country-belgium-1040530/, n/a, cc0
spain.jpg, OpenClipart-Vectors, https://pixabay.com/en/spain-flag-national-flag-nation-162428/, n/a, cc0

//icons
icons are downloaded from the https://material.io/icons/ and are free to use and modify.

//music is downloaded from http://soundimage.org/puzzle-music/ and are free to use.
It is attributed in the game.

The images and icons does not need attribution.


